name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin
46,0.2393617021276596,1.0,0.6620498614958449,0.5454545454545454,0.5361497022965693,0.2016129032258065,0.0,1
33,0.15957446808510636,1.0,0.7811634349030471,0.7727272727272727,0.5897363198185427,0.16129032258064524,0.0,1
221,0.2393617021276596,1.0,0.6925207756232687,0.6753246753246753,0.5168698610717324,0.12096774193548387,0.0,1
12,0.18617021276595744,1.0,0.6537396121883656,0.6753246753246753,0.5160192798412249,0.2016129032258065,0.0,1
153,0.2127659574468085,1.0,0.6481994459833795,0.6103896103896105,0.5205557130705982,0.08064516129032262,0.0,1
134,0.15957446808510636,1.0,1.0,0.9870129870129871,0.7734618656081657,0.040322580645161366,0.0,1
96,0.15957446808510636,1.0,0.8725761772853187,0.8051948051948052,0.5528777998298838,0.040322580645161366,0.0,1
54,0.15957446808510636,1.0,0.9196675900277009,0.6753246753246753,0.6090161610433796,0.0,0.0,1
261,0.39893617021276595,0.19999999999999996,0.12465373961218837,0.3181818181818182,0.21519705131840094,0.44354838709677435,0.0,3
210,0.3457446808510638,0.6000000000000001,0.3601108033240997,0.3181818181818182,0.3459030337397222,0.4838709677419356,0.0,1
6,0.2393617021276596,0.6000000000000001,0.3628808864265928,0.33116883116883117,0.3291749362064077,0.4838709677419356,0.0,1
143,0.3191489361702128,0.6000000000000001,0.36565096952908593,0.2532467532467532,0.2761553728381061,0.5241935483870969,0.0,1
90,0.4787234042553191,0.19999999999999996,0.08033240997229915,0.27272727272727276,0.14658349872412813,0.4032258064516129,0.0,3
269,0.4521276595744681,0.19999999999999996,0.08033240997229915,0.0,0.06294301105755595,0.8870967741935486,0.0,2
202,0.42553191489361697,0.19999999999999996,0.11634349030470911,0.2662337662337662,0.3002551743691523,0.6451612903225808,0.0,2
14,0.39893617021276595,0.19999999999999996,0.10803324099722991,0.28571428571428575,0.23164162177487946,0.4032258064516129,0.0,2
245,0.42553191489361697,0.19999999999999996,0.09972299168975071,0.3181818181818182,0.21604763254890846,0.6451612903225808,0.0,2
20,0.4521276595744681,0.19999999999999996,0.14681440443213298,0.4350649350649351,0.1760703147150553,0.24193548387096786,0.0,2
5,0.3191489361702128,0.6000000000000001,0.3628808864265928,0.28571428571428575,0.2934505245250921,0.44354838709677435,0.0,1
64,0.026595744680851047,1.0,0.6620498614958449,1.0,0.7833853132974199,0.44354838709677435,0.0,1
155,0.0,1.0,0.6537396121883656,0.9545454545454546,0.8843209526509782,0.7258064516129034,0.0,1
90,0.4787234042553191,0.19999999999999996,0.08033240997229915,0.27272727272727276,0.14658349872412813,0.4032258064516129,0.08333333333333304,3
62,0.5053191489361701,0.19999999999999996,0.1994459833795014,0.28571428571428575,0.18457612702013038,0.4838709677419356,0.08333333333333304,1
258,0.42553191489361697,0.19999999999999996,0.12465373961218837,0.3181818181818182,0.17436915225404026,0.3629032258064516,0.08333333333333304,3
5,0.26595744680851063,0.6000000000000001,0.45429362880886426,0.3506493506493506,0.2894811454493904,0.2822580645161291,0.08333333333333304,1
222,0.18617021276595744,0.6000000000000001,0.4349030470914128,0.38311688311688313,0.5177204423022399,0.4838709677419356,0.08333333333333304,1
46,0.2127659574468085,0.6000000000000001,0.5041551246537397,0.3506493506493506,0.4865324638502977,0.4838709677419356,0.08333333333333304,1
154,0.26595744680851063,0.6000000000000001,0.5041551246537397,0.27272727272727276,0.47887723277573013,0.4838709677419356,0.08333333333333304,1
8,0.2393617021276596,0.6000000000000001,0.45429362880886426,0.3506493506493506,0.4749078537000283,0.4838709677419356,0.08333333333333304,1
51,0.1329787234042553,1.0,0.7811634349030471,0.7727272727272727,0.736036291465835,0.2016129032258065,0.08333333333333304,1
232,0.1329787234042553,1.0,0.9196675900277009,0.8376623376623378,0.8083356960589737,0.16129032258064524,0.08333333333333304,1
134,0.1329787234042553,1.0,0.7839335180055402,0.6948051948051948,0.7204423022398639,0.32258064516129037,0.08333333333333304,1
213,0.1329787234042553,1.0,0.6925207756232687,0.6753246753246753,0.7039977317833853,0.2822580645161291,0.08333333333333304,1
110,0.0797872340425532,1.0,0.8725761772853187,0.8701298701298703,0.9475474907853699,0.16129032258064524,0.08333333333333304,1
123,0.10638297872340427,1.0,0.9196675900277009,0.8051948051948052,0.8882903317266798,0.2016129032258065,0.08333333333333304,1
239,0.10638297872340427,1.0,0.9196675900277009,0.8376623376623378,1.0,0.2016129032258065,0.08333333333333304,1
7,0.2393617021276596,0.6000000000000001,0.5263157894736842,0.41558441558441556,0.3824780266515452,0.32258064516129037,0.08333333333333304,1
61,0.3457446808510638,0.19999999999999996,0.1994459833795014,0.16883116883116883,0.22540402608449106,0.7661290322580646,0.08333333333333304,1
233,0.26595744680851063,0.6000000000000001,0.5041551246537397,0.3506493506493506,0.4732066912390134,0.44354838709677435,0.08333333333333304,1
144,0.2393617021276596,0.6000000000000001,0.5041551246537397,0.27272727272727276,0.43266231925148857,0.4032258064516129,0.08333333333333304,1
179,0.3723404255319148,0.19999999999999996,0.14958448753462603,0.25974025974025977,0.17210093563935358,0.3629032258064516,0.08333333333333304,1
199,0.5053191489361701,0.19999999999999996,0.13296398891966757,0.28571428571428575,0.14459880918627732,0.3629032258064516,0.08333333333333304,2
201,0.5585106382978723,0.19999999999999996,0.03047091412742381,0.15584415584415584,0.13070598242132125,0.8064516129032259,0.08333333333333304,2
117,0.5585106382978723,0.19999999999999996,0.055401662049861494,0.19480519480519481,0.1281542387297987,0.4032258064516129,0.08333333333333304,2
254,0.5851063829787234,0.19999999999999996,0.008310249307479228,0.12337662337662336,0.045364332293734044,0.7661290322580646,0.08333333333333304,3
71,0.6914893617021276,0.19999999999999996,0.011080332409972304,0.14935064935064934,0.0,0.6854838709677421,0.08333333333333304,3
273,0.4787234042553191,0.19999999999999996,0.08033240997229915,0.09090909090909088,0.06265948398072019,0.7661290322580646,0.08333333333333304,2
208,0.4521276595744681,0.19999999999999996,0.0637119113573407,0.15584415584415584,0.0969662602778566,0.8870967741935486,0.08333333333333304,1
259,0.39893617021276595,0.19999999999999996,0.12465373961218837,0.3181818181818182,0.1885455060958322,0.4838709677419356,0.16666666666666696,3
100,0.42553191489361697,0.19999999999999996,0.08171745152354568,0.2207792207792208,0.14544939041678484,0.6048387096774194,0.16666666666666696,1
60,0.29255319148936165,0.19999999999999996,0.1994459833795014,0.28571428571428575,0.22540402608449106,0.8064516129032259,0.16666666666666696,1
150,0.3191489361702128,0.19999999999999996,0.14958448753462603,0.25974025974025977,0.17380209810036862,0.5645161290322581,0.16666666666666696,1
51,0.10638297872340427,1.0,0.7811634349030471,0.7727272727272727,0.7544655514601645,0.2016129032258065,0.16666666666666696,1
